DATAFLOW,MEASURE,DATA_ITEM,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1973-Q3,,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1973-Q4,2.1,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1974-Q1,-0.4,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1974-Q2,-2.4,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1974-Q3,0.8,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1974-Q4,-0.3,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1975-Q1,0.1,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1975-Q2,2.9,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1975-Q3,-1.4,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1975-Q4,-1.8,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1976-Q1,4.2,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1976-Q2,0.1,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1976-Q3,0.5,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1976-Q4,0.6,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1977-Q1,-0.8,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1977-Q2,1.1,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1977-Q3,-0.7,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1977-Q4,-0.6,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1978-Q1,0.4,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1978-Q2,0.6,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1978-Q3,1.3,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1978-Q4,0.6,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1979-Q1,2.4,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1979-Q2,-1.9,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1979-Q3,0.6,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1979-Q4,1.6,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1980-Q1,0.2,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1980-Q2,-0.1,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1980-Q3,0.2,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1980-Q4,1.3,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1981-Q1,0,,,,
ABS:ANA_AGG(1.0.0),M2,GPM_PCA,20,AUS,Q,1981-Q2,1.2,,,,
